PassengerId,Survived
892,0
893,1
894,0
895,1
896,1
897,1
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,1
906,1
907,0
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,0
916,0
917,1
918,0
919,0
920,1
921,0
922,1
923,1
924,1
925,1
926,0
927,0
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,1
937,1
938,0
939,0
940,0
941,1
942,1
943,0
944,1
945,1
946,0
947,0
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,0
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,1
965,0
966,0
967,0
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,1
976,0
977,0
978,0
979,1
980,0
981,1
982,1
983,1
984,1
985,1
986,0
987,1
988,1
989,1
990,1
991,1
992,0
993,1
994,0
995,1
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,0
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,1
1034,0
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,0
1059,1
1060,0
1061,1
1062,1
1063,0
1064,1
1065,0
1066,1
1067,1
1068,1
1069,0
1070,1
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,0
1093,1
1094,0
1095,1
1096,1
1097,0
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,0
1109,1
1110,0
1111,1
1112,0
1113,1
1114,1
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,1
1123,1
1124,1
1125,0
1126,0
1127,1
1128,0
1129,0
1130,1
1131,0
1132,0
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,0
1157,1
1158,1
1159,1
1160,1
1161,1
1162,0
1163,0
1164,0
1165,0
1166,0
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,0
1181,1
1182,1
1183,1
1184,0
1185,1
1186,1
1187,1
1188,0
1189,0
1190,1
1191,1
1192,1
1193,0
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,1
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,0
1224,0
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,1
1233,1
1234,1
1235,0
1236,1
1237,1
1238,1
1239,0
1240,1
1241,1
1242,0
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,0
1251,1
1252,1
1253,0
1254,1
1255,1
1256,0
1257,1
1258,0
1259,1
1260,0
1261,0
1262,1
1263,0
1264,1
1265,1
1266,1
1267,0
1268,1
1269,0
1270,1
1271,1
1272,0
1273,0
1274,1
1275,1
1276,0
1277,1
1278,1
1279,1
1280,0
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,0
1289,0
1290,1
1291,0
1292,1
1293,1
1294,0
1295,1
1296,0
1297,0
1298,1
1299,0
1300,1
1301,1
1302,0
1303,0
1304,1
1305,1
1306,0
1307,1
1308,1
1309,0
